################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         10   5.8195122738355334E+00   1.2455233042298667E+01   8.8824878728428782E+00   1.0619499492208218E+00
         2         11   5.4049931139837835E+00   1.2834553995211246E+01   8.8083780133371619E+00   1.1930067686886165E+00
         2         12   4.1873380785194394E+00   8.8240291301355676E+00   6.5500382593943627E+00   7.1843915026606076E-01
         2         13   4.3914317019937732E+00   1.1916689032697546E+01   7.8537071954858328E+00   1.1921647735112784E+00
         2         14   3.0745456362230721E+00   6.6105816962333375E+00   4.9059704159135524E+00   5.4516888863846846E-01
         2         15   3.0629259068142640E+00   1.0570185133855686E+01   6.5189178317145604E+00   1.2115153607351219E+00
         2         16   1.9133259620856427E+00   4.7427809468795932E+00   3.5081501884126927E+00   4.4736850064589667E-01
         2         17   1.3321648124962255E+00   8.1967470478534299E+00   4.3990618306321290E+00   1.2476498231740916E+00
         2         18   7.4742927402536363E-01   3.1361368557548337E+00   2.1768088385595079E+00   3.4520851513667783E-01
         2         19   1.6366869573140425E-01   1.7015188194274540E+00   9.1338240969844831E-01   2.9517426760662563E-01
         2         20   5.1105450967530952E-01   4.2002927710853566E+00   1.8489785154848415E+00   5.9015471637716355E-01
         2         21   1.1463087919840798E-01   1.1350735724718786E+00   7.2131372922691583E-01   2.3280173921893552E-01
         2         22   4.1774414600333915E-01   3.5177577353401923E+00   1.5601340477056582E+00   4.9868825455426341E-01
         2         23   1.4172748035951385E-01   1.5368382984169828E+00   8.2055361566731100E-01   2.6765951800586002E-01
         2         24   4.1443031932694679E-01   3.6834447608784004E+00   1.5813794692872696E+00   5.2449502152635019E-01
         2         25   9.8879817894645824E-02   1.0214469018372507E+00   6.5065432402802681E-01   2.1274841620687063E-01
         2         26   3.3823123802269378E-01   3.0614272088918542E+00   1.3344498035297825E+00   4.4356909748270668E-01
         2         27   2.4599521606953875E-01   3.3795112159160827E+00   1.3889221202915176E+00   5.9103259065209124E-01
         2         28   2.4599521606953875E-01   3.3795112159160827E+00   1.3889221202915176E+00   5.9103259065209124E-01
         2         29   4.5120947322138838E-01   4.9187414351414356E+00   1.9141057128769003E+00   7.6886085347217348E-01
         2         30   4.5120947322138838E-01   4.9187414351414356E+00   1.9141057128769003E+00   7.6886085347217348E-01
         2         31   1.6048686913236160E-01   1.9401354048578892E+00   8.8150794362652451E-01   3.3811255755240799E-01
         2         32   3.3595432938314812E-01   3.4621286368574702E+00   1.4066915362119108E+00   5.1784693067647347E-01
         2         33   1.0520096985220663E-01   1.2410277098381186E+00   6.5067201790648599E-01   2.1600871239928807E-01
         2         34   2.6248688185277541E-01   2.7761550234069730E+00   1.1301132852669682E+00   4.0714104837941167E-01
