################################################################################
# Energy vs. volume comparison.
################################################################################
# Col  Name        Description
################################################################################
# 1    V_atom      Volume per atom.
# 2    Eref_atom   Reference energy per atom.
# 3    N           Number of atoms.
# 4    V           Volume of structure.
# 5    Eref        Reference energy of structure.
# 6    Eref_offset Reference energy of structure (including offset).
###############################################################################################
#              1                2          3                4                5                6
#         V_atom        Eref_atom          N                V             Eref      Eref_offset
###############################################################################################
  9.45013157E+00  -3.55087230E+00        168   1.58762210E+03  -5.96546546E+02  -3.11761465E+04
  9.45013157E+00  -4.20855046E+00        168   1.58762210E+03  -7.07036478E+02  -3.12866365E+04
  9.45013157E+00  -3.52559062E+00        168   1.58762210E+03  -5.92299225E+02  -3.11718992E+04
  9.45013157E+00  -3.37330181E+00        168   1.58762210E+03  -5.66714704E+02  -3.11463147E+04
  9.45013157E+00  -3.79384844E+00        168   1.58762210E+03  -6.37366538E+02  -3.12169665E+04
  9.45013157E+00  -3.85853563E+00        168   1.58762210E+03  -6.48233986E+02  -3.12278340E+04
  9.45013157E+00  -3.87465222E+00        168   1.58762210E+03  -6.50941573E+02  -3.12305416E+04
  9.45013157E+00  -3.92149887E+00        168   1.58762210E+03  -6.58811810E+02  -3.12384118E+04
  9.45013157E+00  -4.43424105E+00        168   1.58762210E+03  -7.44952497E+02  -3.13245525E+04
  9.45013157E+00  -4.88818558E+00        168   1.58762210E+03  -8.21215177E+02  -3.14008152E+04
  9.45013157E+00  -5.62310135E+00        168   1.58762210E+03  -9.44681027E+02  -3.15242810E+04
  9.45013157E+00  -4.77086614E+00        168   1.58762210E+03  -8.01505511E+02  -3.13811055E+04
  9.45013157E+00  -3.82936275E+00        168   1.58762210E+03  -6.43332941E+02  -3.12229329E+04
  9.45013157E+00  -4.21694882E+00        168   1.58762210E+03  -7.08447401E+02  -3.12880474E+04
  9.45013157E+00  -4.96576020E+00        168   1.58762210E+03  -8.34247713E+02  -3.14138477E+04
  9.45013157E+00  -4.57981097E+00        168   1.58762210E+03  -7.69408243E+02  -3.13490082E+04
  9.45013157E+00  -3.78571812E+00        168   1.58762210E+03  -6.36000644E+02  -3.12156006E+04
  9.45013157E+00  -4.73786893E+00        168   1.58762210E+03  -7.95961981E+02  -3.13755620E+04
  9.45013157E+00  -3.56550015E+00        168   1.58762210E+03  -5.99004025E+02  -3.11786040E+04
  9.45013157E+00  -3.92022156E+00        168   1.58762210E+03  -6.58597222E+02  -3.12381972E+04
  9.45013157E+00  -4.61903408E+00        168   1.58762210E+03  -7.75997725E+02  -3.13555977E+04
  9.45013157E+00  -4.78016042E+00        168   1.58762210E+03  -8.03066950E+02  -3.13826670E+04
  9.45013157E+00  -4.27782472E+00        168   1.58762210E+03  -7.18674552E+02  -3.12982746E+04
  9.45013157E+00  -3.32165051E+00        168   1.58762210E+03  -5.58037286E+02  -3.11376373E+04
  9.45013157E+00  -3.28217485E+00        168   1.58762210E+03  -5.51405375E+02  -3.11310054E+04
  9.45013157E+00  -4.22817069E+00        168   1.58762210E+03  -7.10332676E+02  -3.12899327E+04
  9.45013157E+00  -4.07287108E+00        168   1.58762210E+03  -6.84242341E+02  -3.12638423E+04
  9.45013157E+00  -4.19349704E+00        168   1.58762210E+03  -7.04507503E+02  -3.12841075E+04
  9.45013157E+00  -4.50184941E+00        168   1.58762210E+03  -7.56310701E+02  -3.13359107E+04
  9.45013157E+00  -4.77443143E+00        168   1.58762210E+03  -8.02104480E+02  -3.13817045E+04
  9.45013157E+00  -4.35922450E+00        168   1.58762210E+03  -7.32349716E+02  -3.13119497E+04
  9.45013157E+00  -4.87167047E+00        168   1.58762210E+03  -8.18440639E+02  -3.13980406E+04
  9.45013157E+00  -4.35990604E+00        168   1.58762210E+03  -7.32464214E+02  -3.13120642E+04
  9.45013157E+00  -3.65326419E+00        168   1.58762210E+03  -6.13748384E+02  -3.11933484E+04
  9.45013157E+00  -4.13702194E+00        168   1.58762210E+03  -6.95019686E+02  -3.12746197E+04
  9.45013157E+00  -5.31873199E+00        168   1.58762210E+03  -8.93546975E+02  -3.14731470E+04
  9.45013157E+00  -4.19626608E+00        168   1.58762210E+03  -7.04972701E+02  -3.12845727E+04
  9.45013157E+00  -4.96561790E+00        168   1.58762210E+03  -8.34223808E+02  -3.14138238E+04
  9.45013157E+00  -4.87688412E+00        168   1.58762210E+03  -8.19316532E+02  -3.13989165E+04
  9.45013157E+00  -4.62287144E+00        168   1.58762210E+03  -7.76642402E+02  -3.13562424E+04
  9.45013157E+00  -5.15416302E+00        168   1.58762210E+03  -8.65899387E+02  -3.14454994E+04
  9.45013157E+00  -4.65944013E+00        168   1.58762210E+03  -7.82785941E+02  -3.13623859E+04
  9.45013157E+00  -4.79250915E+00        168   1.58762210E+03  -8.05141538E+02  -3.13847415E+04
  9.45013157E+00  -5.17330450E+00        168   1.58762210E+03  -8.69115156E+02  -3.14487152E+04
  9.45013157E+00  -4.03946703E+00        168   1.58762210E+03  -6.78630461E+02  -3.12582305E+04
  9.45013157E+00  -5.16397935E+00        168   1.58762210E+03  -8.67548530E+02  -3.14471485E+04
  9.45013157E+00  -4.20926265E+00        168   1.58762210E+03  -7.07156125E+02  -3.12867561E+04
  9.45013157E+00  -4.46707063E+00        168   1.58762210E+03  -7.50467865E+02  -3.13300679E+04
  9.45013157E+00  -4.91876801E+00        168   1.58762210E+03  -8.26353025E+02  -3.14059530E+04
  9.45013157E+00  -5.39845038E+00        168   1.58762210E+03  -9.06939664E+02  -3.14865397E+04
  9.45013157E+00  -5.50627012E+00        168   1.58762210E+03  -9.25053379E+02  -3.15046534E+04
  9.45013157E+00  -5.50691179E+00        168   1.58762210E+03  -9.25161181E+02  -3.15047612E+04
  9.45013157E+00  -4.66551783E+00        168   1.58762210E+03  -7.83806995E+02  -3.13634070E+04
  9.45013157E+00  -4.60997070E+00        168   1.58762210E+03  -7.74475077E+02  -3.13540751E+04
  9.45013157E+00  -4.83323606E+00        168   1.58762210E+03  -8.11983658E+02  -3.13915837E+04
  9.45013157E+00  -5.64081215E+00        168   1.58762210E+03  -9.47656441E+02  -3.15272564E+04
  9.45013157E+00  -5.04064242E+00        168   1.58762210E+03  -8.46827927E+02  -3.14264279E+04
  9.45013157E+00  -4.98998146E+00        168   1.58762210E+03  -8.38316886E+02  -3.14179169E+04
  9.45013157E+00  -5.16631951E+00        168   1.58762210E+03  -8.67941678E+02  -3.14475417E+04
  9.45013157E+00  -5.29665797E+00        168   1.58762210E+03  -8.89838539E+02  -3.14694385E+04
  9.45013157E+00  -4.56895734E+00        168   1.58762210E+03  -7.67584833E+02  -3.13471848E+04
  9.45013157E+00  -5.66155075E+00        168   1.58762210E+03  -9.51140525E+02  -3.15307405E+04
