################################################################################
# Statistics for individual neurons gathered during RMSE calculation.
################################################################################
# Col  Name    Description
################################################################################
# 1    element Element index.
# 2    neuron  Neuron number.
# 3    count   Number of neuron value computations.
# 4    min     Minimum neuron value encounterd.
# 5    max     Maximum neuron value encounterd.
# 6    mean    Mean neuron value.
# 7    sigma   Standard deviation of neuron value.
####################################################################################################
#        1          2          3                4                5                6                7
#  element     neuron      count              min              max             mean            sigma
####################################################################################################
         2          9       9903  -4.76743696E-01   5.23256304E-01  -1.72876064E-15   1.68505539E-01
         2         10       9903  -4.61588983E-01   5.38411017E-01   2.76479502E-16   1.60035358E-01
         2         11       9903  -4.58086952E-01   5.41913048E-01  -5.82967426E-15   1.60575677E-01
         2         12       9903  -5.09566015E-01   4.90433985E-01  -1.42901836E-15   1.54946522E-01
         2         13       9903  -4.60087322E-01   5.39912678E-01   1.90751966E-16   1.58421795E-01
         2         14       9903  -5.17931590E-01   4.82068410E-01  -3.74384402E-15   1.54175150E-01
         2         15       9903  -4.60353349E-01   5.39646651E-01   1.10733900E-15   1.61379183E-01
         2         16       9903  -5.63650680E-01   4.36349320E-01   1.76937240E-15   1.58111192E-01
         2         17       9903  -4.46771109E-01   5.53228891E-01   1.16425993E-15   1.81751748E-01
         2         18       9903  -5.98390349E-01   4.01609651E-01  -2.86428123E-15   1.44516858E-01
         2         19       9903  -4.87507659E-01   5.12492341E-01  -2.39331931E-16   1.91939554E-01
         2         20       9903  -3.62655896E-01   6.37344104E-01  -1.02145434E-15   1.59966550E-01
         2         21       9903  -5.94529075E-01   4.05470925E-01   3.52341379E-15   2.28137984E-01
         2         22       9903  -3.68511256E-01   6.31488744E-01  -3.41978933E-16   1.60866474E-01
         2         23       9903  -4.86575064E-01   5.13424936E-01   1.63596178E-15   1.91855381E-01
         2         24       9903  -3.56972773E-01   6.43027227E-01  -2.39972673E-15   1.60444388E-01
         2         25       9903  -5.98086053E-01   4.01913947E-01   4.25174610E-15   2.30604820E-01
         2         26       9903  -3.65826983E-01   6.34173017E-01  -1.12886478E-15   1.62885485E-01
         2         27       9903  -3.64742642E-01   6.35257358E-01  -1.68145032E-15   1.88616427E-01
         2         28       9903  -3.64742642E-01   6.35257358E-01  -1.68145032E-15   1.88616427E-01
         2         29       9903  -3.27450649E-01   6.72549351E-01  -1.05862310E-15   1.72099687E-01
         2         30       9903  -3.27450649E-01   6.72549351E-01  -1.05862310E-15   1.72099687E-01
         2         31       9903  -4.05148017E-01   5.94851983E-01   1.87570291E-15   1.89988389E-01
         2         32       9903  -3.42507199E-01   6.57492801E-01   1.64414273E-16   1.65648771E-01
         2         33       9903  -4.80241421E-01   5.19758579E-01  -1.83108883E-16   1.90177520E-01
         2         34       9903  -3.45163464E-01   6.54836536E-01   3.18981016E-16   1.61970883E-01
         2         35       9903  -3.58729949E-01   6.41270051E-01   2.56826660E-16   1.93821499E-01
         2         36       9903  -3.14000485E-01   6.85999515E-01   8.97813904E-16   1.78791030E-01
         2         37       9903  -3.87822120E-01   6.12177880E-01   9.50477817E-16   1.86946603E-01
         2         38       9903  -3.24501319E-01   6.75498681E-01   6.13624052E-17   1.71067418E-01
         2         39       9903  -3.16665881E-01   6.83334119E-01   4.11731528E-16   1.86205583E-01
         2         40       9903  -2.79305579E-01   7.20694421E-01  -1.40914971E-17   2.00129275E-01
         2         41       9903  -3.58829184E-01   6.41170816E-01  -5.11052374E-17   1.74614406E-01
         2         42       9903  -2.62407501E-01   7.37592499E-01   8.09097329E-16   1.76772683E-01
         2         43       9903  -3.09208391E-01   6.44303325E-01  -4.67313589E-15   1.77830503E-01
         2         44       9903  -5.50034701E-01   5.88682335E-01  -8.81283669E-16   1.86531408E-01
         2         45       9903  -8.09467689E-01   5.02172728E-01   2.35152479E-15   2.11425560E-01
         2         46       9903  -3.75100291E-01   3.37460403E-01  -2.57060970E-15   1.20331832E-01
         2         47       9903  -4.45212060E-01   4.82786647E-01   1.49041527E-15   1.45960880E-01
         2         48       9903  -3.97259479E-01   2.79336097E-01  -3.93457636E-15   1.08789335E-01
         2         49       9903  -2.17467720E-01   3.43354589E-01  -3.00946338E-15   8.98811236E-02
         2         50       9903  -5.85496728E-01   4.96432436E-01   2.26771153E-15   1.94456912E-01
         2         51       9903  -7.74425597E-01   5.49582570E-01   1.00935787E-15   2.19050164E-01
         2         52       9903  -3.99303703E-01   4.72367407E-01  -7.80379273E-16   1.56461179E-01
         2         53       9903  -5.00595368E-01   3.88523860E-01   2.95362711E-15   1.40177004E-01
         2         54       9903  -1.69574625E-01   1.09489634E-01  -3.49201605E-15   3.71125642E-02
         2         55       9903  -4.47862945E-01   3.54533607E-01   1.65521383E-15   1.40036187E-01
