################################################################################
# Energy comparison.
################################################################################
# Col  Name  Description
################################################################################
# 1    index Structure index.
# 2    Eref  Reference potential energy per atom (training units).
# 3    Ennp  NNP potential energy per atom (training units).
################################################################################
#        1                2                3
#    index             Eref             Ennp
############################################
       358   4.77421890E-01   1.05697723E-02
       359   2.45590966E-02   1.07368121E-02
       360   3.23941138E-01  -1.05941861E-01
       361   1.19173140E-01  -2.86901242E-02
       362   2.93677541E-01   1.76401219E-03
       363   3.47378063E-01  -5.26480996E-02
       364  -8.63846558E-02  -1.33038622E-02
       366   1.04609004E-01  -3.08081862E-02
       367   2.81486103E-02   9.41256793E-03
       368   2.10395588E-01   3.87809651E-03
       369  -2.05869291E-01  -2.89053493E-02
       370  -1.92018343E-01  -1.55511959E-02
       371   1.14066537E-01  -2.03879644E-02
       372   6.44091847E-02   6.53679211E-03
       373   4.23385594E-05  -6.10657302E-03
       374  -1.45678827E-01  -7.31235156E-03
       375  -2.14730949E-01  -1.84177570E-02
       376  -1.79450914E-01   3.87249008E-02
       377  -2.89316201E-01   2.08262725E-02
       378  -3.04873962E-01   1.05745884E-02
       379  -2.07364578E-01   1.37692453E-02
       380  -2.18233279E-01   6.90779217E-03
       381  -9.73513823E-02   4.99399099E-02
       382  -4.59199542E-01   4.12295370E-03
       383  -4.64293224E-02   3.72386544E-02
       384  -3.18021994E-01   2.31735405E-03
       385  -3.09554795E-01  -5.96405636E-02
       386  -1.27857164E-01   1.91138807E-02
       388  -3.86640840E-01  -1.22713460E-02
       389  -3.09217463E-01   2.32542561E-02
       390  -5.22106395E-01   9.08097383E-03
       391  -5.38066069E-01  -4.77438306E-02
       392  -9.56748225E-03   7.41379469E-03
       393  -2.41795972E-01   1.12096089E-02
       394   5.83539944E-02  -2.52389363E-02
       395  -6.32981630E-01   1.07390073E-02
       396   1.34682202E-01  -1.91758200E-02
       397   1.64282854E-01  -1.38361335E-02
       398   5.69477944E-02   2.06436797E-02
       399  -1.63445687E-01   1.08844817E-02
       400  -2.41223937E+00   1.17329369E-01
       401  -1.70377464E+00   1.15518433E-01
       402  -1.42043478E+00   1.23433323E-01
       403  -5.12909367E-01   1.46905725E-01
       404  -1.16270435E+00   1.41867879E-01
       405  -1.77360392E+00   1.16071440E-01
       406  -1.26822366E+00   1.20535612E-01
       407  -1.78559869E+00   1.31441535E-01
       408  -1.64163279E+00   1.39542897E-01
       409  -1.50016360E+00   1.25970293E-01
       411  -1.18213100E+00   1.34772205E-01
       412  -1.07859555E+00   1.48169387E-01
       413  -1.61964243E+00   1.27088643E-01
       414  -1.23681498E+00   1.22467859E-01
       415  -1.82597765E+00   1.18182438E-01
       416  -1.70231672E+00   1.36321932E-01
       417  -1.76193305E+00   1.29951571E-01
       418  -1.82957868E+00   1.20521285E-01
       419  -1.41295266E+00   1.23541289E-01
       421  -2.07201114E+00   1.25849204E-01
       422  -1.89511728E+00   1.06638278E-01
       423  -1.93141258E+00   1.11803434E-01
       424  -1.16157778E+00   1.31868673E-01
       425  -1.92694603E+00   1.21518587E-01
       426  -1.73072843E+00   1.26037938E-01
       427  -1.31459350E+00   1.28350202E-01
       428  -1.58871119E+00   1.00637569E-01
       429  -1.61675671E+00   1.38901831E-01
       430  -1.46427400E+00   1.32054279E-01
       431  -1.23889038E+00   1.25082536E-01
       432  -1.25771562E+00   1.04818845E-01
       433  -1.58970845E+00   1.12126688E-01
       435  -1.18513001E+00   1.30499262E-01
       436  -1.76355036E+00   1.26986493E-01
       437  -1.26316606E+00   1.12447767E-01
       438  -1.57192141E+00   1.13996083E-01
       439  -9.69782006E-01   1.48068365E-01
       440  -1.67693539E+00   1.25663517E-01
       441  -8.91671598E-01   1.26072223E-01
       442  -1.47046996E+00   1.20545584E-01
       443  -8.92635718E-01   1.47371570E-01
       444  -2.13481469E-01   1.48802741E-01
       445  -1.70989197E+00   1.29952950E-01
       446  -1.87005310E+00   1.14205045E-01
       447  -2.30445498E+00   1.12225433E-01
       449  -1.88905002E+00   1.19088601E-01
       450  -1.86739761E+00   1.17158309E-01
       451  -2.41555245E+00   9.88642675E-02
       452  -1.87466347E+00   1.18780958E-01
       453  -2.12923510E+00   1.29321063E-01
       454  -1.05415209E+00   1.24231854E-01
       455  -1.38029214E+00   1.24969215E-01
       456  -1.42420582E+00   1.29947213E-01
       457  -2.08572099E+00   1.19636728E-01
       459  -9.92909200E-01   1.45013665E-01
       460  -7.68945235E-01   1.34338111E-01
       461  -1.35881437E+00   1.29974209E-01
       462  -1.53704325E+00   1.32586243E-01
       463  -1.65658268E+00   1.15799141E-01
       465  -1.36982986E+00   1.34869352E-01
       466  -1.04273772E+00   1.27300822E-01
       467  -1.89345839E+00   1.19383799E-01
       468  -2.24044321E+00   1.18843829E-01
       470  -1.37007962E+00   1.29894477E-01
       471  -7.20198719E-01   1.33266803E-01
       472  -1.50510003E+00   1.27131247E-01
       473  -1.67435051E+00   1.25666381E-01
       474  -1.59890151E+00   1.18291070E-01
       475  -1.39826376E+00   1.28891669E-01
       476  -1.12292863E+00   1.31416514E-01
       477  -1.37128566E+00   1.23453431E-01
       478  -1.09683568E+00   1.41147181E-01
       479  -2.06214188E+00   1.14590122E-01
       480  -1.54389433E+00   1.10970465E-01
       481  -1.21641957E+00   1.30253467E-01
       482  -1.88963146E+00   1.31793141E-01
       485  -1.20023932E+00   1.32877836E-01
       486  -1.49740651E+00   1.33411975E-01
       487  -1.54209829E+00   1.27120492E-01
       488  -1.61395450E+00   1.16898649E-01
       489  -2.01649023E+00   1.09485918E-01
       490  -2.25478058E+00   1.20106752E-01
       491  -2.41901791E+00   1.20858769E-01
       492  -1.31596947E+00   1.28844231E-01
       493  -2.38983818E+00   1.00971170E-01
       494  -1.64345631E+00   1.26954394E-01
       495  -9.20582116E-01   1.43781982E-01
       496  -1.98097571E+00   1.30352341E-01
       497  -1.73114895E+00   1.03395732E-01
       498  -1.81136300E+00   1.18073703E-01
       499  -1.38775900E+00   1.36503728E-01
       500  -1.95195349E+00   1.21862782E-01
