################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.0649422974270145E+01 a       302     0     7     1     2
  1.3403432905393149E+02 a       303     0     7     1     3
 -1.1012409455000282E+02 a       304     0     7     1     4
 -4.4154594546166109E+01 a       305     0     7     1     5
 -5.0359830432234077E+01 a       306     0     7     1     6
  1.1573330383547161E+01 a       307     0     7     1     7
 -6.1745961021455642E+01 a       308     0     7     1     8
  1.5268151540218273E+01 a       309     0     7     1     9
 -3.6229573551200036E+02 a       310     0     7     1    10
 -6.0955784705269274E+01 a       311     0     7     1    11
  3.8606410089009458E+01 a       312     0     7     1    12
 -6.4584532390817024E+00 a       313     0     7     1    13
 -2.0024807100818481E+02 a       314     0     7     1    14
  5.9937598182359665E+01 a       315     0     7     1    15
  2.8480696767002549E+01 a       316     0     7     1    16
  3.2312145475899496E+02 a       317     0     7     1    17
 -1.0912661214584831E+02 a       318     0     7     1    18
  1.2199217095264223E+02 a       319     0     7     1    19
 -6.5853838657280335E+01 a       320     0     7     1    20
 -1.0885324470175061E+02 a       321     0     7     1    21
 -5.5192665253068483E+01 a       322     0     7     1    22
 -4.7088539441094639E+01 a       323     0     7     1    23
 -7.7824899791452573E+00 a       324     0     7     1    24
  3.6644900166238352E+02 a       325     0     7     1    25
  9.1742084767001884E+01 a       326     0     7     1    26
  1.2579009370497077E+02 a       327     0     7     1    27
  3.0589353219749057E+01 a       328     0     7     1    28
  3.0484450305928220E+01 a       329     0     7     1    29
  1.1959643772640689E+01 a       330     0     7     1    30
  3.6089938216360288E+01 a       331     0     7     1    31
 -4.9771085825079858E+01 a       332     0     7     1    32
 -1.1681727072359934E+02 a       333     0     7     1    33
  3.7025740138898271E+02 a       334     0     7     1    34
 -3.6752182713612108E+01 a       335     0     7     1    35
  2.8529088980075088E+01 a       336     0     7     1    36
 -1.6374403852891026E+00 a       337     0     7     1    37
  2.3187542689312593E+02 a       338     0     7     1    38
 -8.7942754985811490E+01 a       339     0     7     1    39
 -2.8133527148359869E+00 a       340     0     7     1    40
  9.2025271683066563E+01 a       341     0     7     1    41
  5.3802818084801494E+01 a       342     0     7     1    42
  7.2247761772103317E+01 a       343     0     7     1    43
  6.4107125333390286E+01 a       344     0     7     1    44
  8.0256358353230326E+01 a       345     0     7     1    45
  2.7571666796572476E+01 a       346     0     7     1    46
 -3.8660510585163216E+01 a       347     0     7     1    47
 -8.0888401398578267E+01 a       348     0     7     1    48
 -5.5570991807028740E+01 a       349     0     7     1    49
  1.1774479435111627E+02 a       350     0     7     1    50
 -5.9939162495334521E+00 a       351     0     8     1     1
  8.7840321664603835E+01 a       352     0     8     1     2
 -3.4117997863404935E+02 a       353     0     8     1     3
  1.7482391308969162E+02 a       354     0     8     1     4
  1.4932560757644339E+02 a       355     0     8     1     5
  5.7272233553682710E+01 a       356     0     8     1     6
 -2.5646505501188579E+00 a       357     0     8     1     7
  1.5098243742507088E+02 a       358     0     8     1     8
  1.0567434393144511E+01 a       359     0     8     1     9
  1.0096073210152057E+03 a       360     0     8     1    10
  1.1226853278623098E+02 a       361     0     8     1    11
 -2.3492546834988364E+01 a       362     0     8     1    12
  3.4522362106518756E+01 a       363     0     8     1    13
  2.7512898110116134E+02 a       364     0     8     1    14
 -5.6021726005858596E+01 a       365     0     8     1    15
 -2.9279157658897915E+01 a       366     0     8     1    16
 -9.9740092133716098E+02 a       367     0     8     1    17
  1.1929156622834773E+02 a       368     0     8     1    18
 -1.8830888045611951E+02 a       369     0     8     1    19
  7.0231780773628174E+01 a       370     0     8     1    20
  2.1351035473811865E+02 a       371     0     8     1    21
  6.7831849788814097E+01 a       372     0     8     1    22
  2.1464539217864274E+01 a       373     0     8     1    23
  9.1738891449719304E+01 a       374     0     8     1    24
 -9.2301921281334421E+02 a       375     0     8     1    25
 -2.0184255234998966E+02 a       376     0     8     1    26
 -2.1658620261837302E+02 a       377     0     8     1    27
 -4.5064446210517779E+01 a       378     0     8     1    28
 -1.5834771667966793E+01 a       379     0     8     1    29
 -3.7285324554329030E+01 a       380     0     8     1    30
  5.1574630426369275E+01 a       381     0     8     1    31
  8.5261526848205406E+01 a       382     0     8     1    32
  1.5739932154396897E+02 a       383     0     8     1    33
 -8.5370338031602830E+02 a       384     0     8     1    34
  6.9045970031029453E+00 a       385     0     8     1    35
 -4.6237967744165644E+01 a       386     0     8     1    36
 -2.9415571038267899E+01 a       387     0     8     1    37
 -7.5020964681535520E+02 a       388     0     8     1    38
  1.0546438703014961E+02 a       389     0     8     1    39
 -7.6516090273298127E+00 a       390     0     8     1    40
 -2.4514957821011646E+02 a       391     0     8     1    41
 -2.1474948228240052E+02 a       392     0     8     1    42
 -6.6660994290627514E+01 a       393     0     8     1    43
 -4.6355372446036924E+01 a       394     0     8     1    44
 -4.0847801958483458E+01 a       395     0     8     1    45
 -1.0501047106749259E+02 a       396     0     8     1    46
  8.0235990318207570E+01 a       397     0     8     1    47
  1.0535794894285800E+02 a       398     0     8     1    48
 -6.5230031526039099E+01 a       399     0     8     1    49
 -1.5691579540876600E+02 a       400     0     8     1    50
  3.7784531853759482E+01 a       401     0     9     1     1
  1.1115487645672789E+02 a       402     0     9     1     2
 -1.6402446381084934E+02 a       403     0     9     1     3
  5.7555494477050104E+01 a       404     0     9     1     4
  1.2760770940365502E+02 a       405     0     9     1     5
 -2.6972230448551294E+01 a       406     0     9     1     6
  1.0470888602294950E+01 a       407     0     9     1     7
  1.0244103521983800E+02 a       408     0     9     1     8
  4.2116588424244419E+01 a       409     0     9     1     9
  9.1791985664373669E+02 a       410     0     9     1    10
  8.8465275862735297E+01 a       411     0     9     1    11
  5.0109947089853840E+01 a       412     0     9     1    12
  1.3007610296970181E+01 a       413     0     9     1    13
  6.3589574292038577E+01 a       414     0     9     1    14
  5.8189586105582549E+01 a       415     0     9     1    15
  1.4609683603084186E+01 a       416     0     9     1    16
 -9.2479272235633834E+02 a       417     0     9     1    17
 -5.8884711387227021E+01 a       418     0     9     1    18
 -5.2303360814698692E+01 a       419     0     9     1    19
 -3.6286888137422189E+01 a       420     0     9     1    20
  5.6899416572546301E+01 a       421     0     9     1    21
  7.7728408202454897E+00 a       422     0     9     1    22
 -9.1825216082838779E+01 a       423     0     9     1    23
  1.0584486474634467E+02 a       424     0     9     1    24
 -6.5153877585628891E+02 a       425     0     9     1    25
 -1.5487610679022907E+02 a       426     0     9     1    26
 -5.0951990156887604E+01 a       427     0     9     1    27
 -3.3305384120794668E+00 a       428     0     9     1    28
  5.0465538265756592E+01 a       429     0     9     1    29
 -2.0248187379434658E+01 a       430     0     9     1    30
  6.0416522735887277E+01 a       431     0     9     1    31
  5.5599202367062288E+00 a       432     0     9     1    32
 -2.0596801150984810E+01 a       433     0     9     1    33
 -5.7749951636204082E+02 a       434     0     9     1    34
 -3.5903227111222641E+01 a       435     0     9     1    35
  1.7488070150282333E+01 a       436     0     9     1    36
 -3.5814591263556267E+01 a       437     0     9     1    37
 -6.0895601339926861E+02 a       438     0     9     1    38
 -3.4673999262068413E+01 a       439     0     9     1    39
 -2.4678113548393810E+01 a       440     0     9     1    40
 -1.9826163530649666E+02 a       441     0     9     1    41
 -2.5384120854341637E+02 a       442     0     9     1    42
  6.0899913774441281E+01 a       443     0     9     1    43
  2.9426801664907149E+01 a       444     0     9     1    44
  8.6922848963606214E+01 a       445     0     9     1    45
 -8.2883446838665051E+01 a       446     0     9     1    46
  2.4321875588232793E+01 a       447     0     9     1    47
 -1.7426921213956600E+01 a       448     0     9     1    48
 -1.9794308917138019E+02 a       449     0     9     1    49
 -1.4705680748825946E+01 a       450     0     9     1    50
  1.3268389238839189E+01 a       451     0    10     1     1
  2.2753657371489762E+01 a       452     0    10     1     2
 -1.5760175076062433E+02 a       453     0    10     1     3
  4.9939717071812019E+01 a       454     0    10     1     4
  4.2957002855623209E+01 a       455     0    10     1     5
  3.8302091579597196E+01 a       456     0    10     1     6
  6.6785868469794014E+00 a       457     0    10     1     7
  3.1850819910548417E+01 a       458     0    10     1     8
  8.0064684511091819E+00 a       459     0    10     1     9
  1.8577897078034766E+02 a       460     0    10     1    10
  1.5839012960942156E+00 a       461     0    10     1    11
 -1.6021222330582873E+01 a       462     0    10     1    12
  3.7643164257054870E+01 a       463     0    10     1    13
  9.4628358793202295E+01 a       464     0    10     1    14
 -5.2506310026841184E+01 a       465     0    10     1    15
 -1.6130194515100325E+01 a       466     0    10     1    16
 -1.9624475452671726E+02 a       467     0    10     1    17
  6.8168089854220653E+01 a       468     0    10     1    18
 -7.0942281888081979E+01 a       469     0    10     1    19
  3.6324241890827224E+01 a       470     0    10     1    20
  1.1306397347376034E+02 a       471     0    10     1    21
  1.0163760773405066E+01 a       472     0    10     1    22
  4.6058238099258276E+01 a       473     0    10     1    23
  1.9737589792987713E+01 a       474     0    10     1    24
 -2.8290633739742464E+02 a       475     0    10     1    25
 -1.5714885709783491E+01 a       476     0    10     1    26
 -9.0734133757906022E+01 a       477     0    10     1    27
 -2.1981070554011620E+01 a       478     0    10     1    28
 -1.4254158773181661E+01 a       479     0    10     1    29
 -1.8617344243372969E+01 a       480     0    10     1    30
  3.5754772840789215E+01 a       481     0    10     1    31
  5.0001752241208543E+01 a       482     0    10     1    32
  9.4807902531429960E+01 a       483     0    10     1    33
 -2.3729743583230476E+02 a       484     0    10     1    34
 -9.4376786403884534E+00 a       485     0    10     1    35
 -4.9839641939004082E+01 a       486     0    10     1    36
 -1.8695377639051138E+01 a       487     0    10     1    37
 -2.3051811659704197E+02 a       488     0    10     1    38
  4.7075929779659546E+01 a       489     0    10     1    39
  1.9163259597222414E+01 a       490     0    10     1    40
 -7.0812301788014352E+01 a       491     0    10     1    41
 -2.0763193624895457E+00 a       492     0    10     1    42
 -4.1242514304838032E+01 a       493     0    10     1    43
  1.8634199814563459E+00 a       494     0    10     1    44
 -1.5634451160155383E+01 a       495     0    10     1    45
 -4.0438513375168533E+01 a       496     0    10     1    46
