################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.6841625519950312E+00 a       375     0     8     1    25
 -4.2260078967083343E+00 a       376     0     8     1    26
  1.0248022877870305E+01 a       377     0     8     1    27
 -4.6634624160568423E+00 a       378     0     8     1    28
  2.6673010993499275E+01 a       379     0     8     1    29
 -2.9424016084892507E+01 a       380     0     8     1    30
  3.4064438451305343E+00 a       381     0     8     1    31
  4.9972827789968894E+00 a       382     0     8     1    32
  2.8914254126397694E+00 a       383     0     8     1    33
  3.4910132961747747E-01 a       384     0     8     1    34
 -3.7485816178361073E+00 a       385     0     8     1    35
 -3.8612556850293611E+00 a       386     0     8     1    36
  1.2100833102978648E+01 a       387     0     8     1    37
  4.4937430405268390E+00 a       388     0     8     1    38
 -1.8845170276226060E+00 a       389     0     8     1    39
  2.6974700496186532E+01 a       390     0     8     1    40
  9.4546916066160502E+00 a       391     0     8     1    41
 -2.5553337504082972E+01 a       392     0     8     1    42
 -2.9121187598583791E+01 a       393     0     8     1    43
  3.4473692185015373E+01 a       394     0     8     1    44
 -4.3188970258154626E+01 a       395     0     8     1    45
 -5.6887557035909947E-02 a       396     0     8     1    46
  2.4266844171321473E+00 a       397     0     8     1    47
  4.6251739111442722E+00 a       398     0     8     1    48
 -6.6750450994250237E+00 a       399     0     8     1    49
 -3.3819678368143407E+01 a       400     0     8     1    50
 -1.6092933283942969E+01 a       401     0     9     1     1
  1.3325478135022966E+01 a       402     0     9     1     2
  5.2917352398800661E+00 a       403     0     9     1     3
 -5.0531439689754301E+00 a       404     0     9     1     4
  2.7118080719012294E+00 a       405     0     9     1     5
  8.6006865812433340E+00 a       406     0     9     1     6
  1.4163008499919300E+01 a       407     0     9     1     7
  1.2432427911906366E+01 a       408     0     9     1     8
  2.4898488756393597E+01 a       409     0     9     1     9
 -3.9282899052019133E+00 a       410     0     9     1    10
  7.3614928067223957E+00 a       411     0     9     1    11
 -1.9813009131782177E+01 a       412     0     9     1    12
  2.5369540113709736E+01 a       413     0     9     1    13
 -1.9746612486226416E+00 a       414     0     9     1    14
  5.4738419858218155E+00 a       415     0     9     1    15
  3.7844339590958533E+00 a       416     0     9     1    16
 -1.1040277107020403E+01 a       417     0     9     1    17
  6.0337417058686986E+00 a       418     0     9     1    18
 -3.5265538451979022E+00 a       419     0     9     1    19
 -4.9402173946477177E+01 a       420     0     9     1    20
 -2.9057171700541455E+00 a       421     0     9     1    21
  1.3810105934688270E+01 a       422     0     9     1    22
 -7.4014595478208474E+00 a       423     0     9     1    23
 -2.6674230718826507E+01 a       424     0     9     1    24
  2.6128409158395298E+00 a       425     0     9     1    25
 -6.2659285244898211E+00 a       426     0     9     1    26
  7.4537962757205172E+00 a       427     0     9     1    27
 -2.1111501816771263E+01 a       428     0     9     1    28
  1.8581471710926685E+01 a       429     0     9     1    29
 -2.5831522597173997E+01 a       430     0     9     1    30
  5.5038664967262543E+00 a       431     0     9     1    31
 -6.2309133229659364E-01 a       432     0     9     1    32
  2.8990569501914512E+00 a       433     0     9     1    33
  1.0460404725945296E+00 a       434     0     9     1    34
  3.3362004558786031E+00 a       435     0     9     1    35
 -5.9901811460359573E+00 a       436     0     9     1    36
  1.0727225463195218E+01 a       437     0     9     1    37
 -6.6322846075973372E+00 a       438     0     9     1    38
  2.3309369428488216E+00 a       439     0     9     1    39
  1.1255221137782621E+01 a       440     0     9     1    40
  6.4880126649764787E+00 a       441     0     9     1    41
 -5.7434314624326426E+00 a       442     0     9     1    42
 -1.8348118204386274E+01 a       443     0     9     1    43
  2.7716797095236942E+01 a       444     0     9     1    44
 -4.0711289842108677E+01 a       445     0     9     1    45
 -8.4329772490690758E-01 a       446     0     9     1    46
  8.1441324510603985E-01 a       447     0     9     1    47
 -3.9551432253529430E+00 a       448     0     9     1    48
 -1.1837881198692529E+01 a       449     0     9     1    49
 -2.3250190189030874E+01 a       450     0     9     1    50
  1.3451397156538767E+00 a       451     0    10     1     1
  1.2366176765080747E+00 a       452     0    10     1     2
 -4.1426467115794434E+00 a       453     0    10     1     3
 -4.8761287319317717E+00 a       454     0    10     1     4
  3.1472650302936684E+00 a       455     0    10     1     5
 -5.6651555804446625E+00 a       456     0    10     1     6
 -1.0346964904797533E+00 a       457     0    10     1     7
  3.5372897979927299E-02 a       458     0    10     1     8
  6.6793189904571912E+00 a       459     0    10     1     9
 -3.0152424764506920E+00 a       460     0    10     1    10
  1.8574217803340980E+00 a       461     0    10     1    11
 -4.0671847181216672E+00 a       462     0    10     1    12
  3.9719669687051700E+00 a       463     0    10     1    13
 -2.1611647363906852E+00 a       464     0    10     1    14
  3.4751309270984918E+00 a       465     0    10     1    15
 -1.3987251626543216E+00 a       466     0    10     1    16
 -3.9166164299225525E+00 a       467     0    10     1    17
  3.5237592452228089E-01 a       468     0    10     1    18
  1.6702568547716154E-01 a       469     0    10     1    19
 -9.5028497147068709E+00 a       470     0    10     1    20
 -4.2311695796979327E+00 a       471     0    10     1    21
 -5.9470326220925003E+00 a       472     0    10     1    22
 -5.1103698348470914E+00 a       473     0    10     1    23
 -7.8485792288587390E+00 a       474     0    10     1    24
  2.4733113357444991E+00 a       475     0    10     1    25
 -7.1727334339737414E-01 a       476     0    10     1    26
  4.4811748153300677E+00 a       477     0    10     1    27
